Match,Result,totalGold,goldDiff,totalKills,totalDeaths,totalAssists,KD_rat,indGold,indKills,indDeaths,indAssists
B938,1,60766,8299,17,10,49,7,"[11376, 11600, 16353, 12759, 8678]","[1, 2, 10, 4, 0]","[3, 4, 0, 2, 1]","[11, 11, 5, 8, 14]"
R938,0,52467,-8299,10,17,25,-7,"[12578, 10383, 11298, 11196, 7012]","[2, 2, 3, 3, 0]","[3, 4, 4, 1, 5]","[5, 7, 3, 4, 6]"
B939,0,61158,-7283,6,10,12,-4,"[15154, 10311, 13120, 13848, 8725]","[2, 1, 2, 1, 0]","[1, 1, 2, 2, 4]","[4, 1, 3, 1, 3]"
R939,1,68441,7283,10,6,18,4,"[14329, 12936, 16215, 15485, 9476]","[0, 2, 5, 3, 0]","[3, 1, 1, 0, 1]","[3, 2, 2, 2, 9]"
B940,0,50653,-12051,6,15,19,-9,"[11033, 10304, 10112, 11457, 7747]","[2, 3, 0, 0, 1]","[2, 4, 3, 4, 2]","[3, 2, 5, 5, 4]"
R940,1,62704,12051,15,6,48,9,"[12950, 11939, 15014, 13379, 9422]","[1, 3, 5, 5, 1]","[1, 1, 1, 1, 2]","[12, 8, 6, 8, 14]"
B941,0,40498,-13034,4,24,9,-20,"[8481, 7463, 9549, 9577, 5428]","[1, 1, 0, 2, 0]","[4, 7, 4, 4, 5]","[1, 2, 3, 1, 2]"
R941,1,53532,13034,24,4,55,20,"[11828, 9564, 10531, 12747, 8862]","[9, 1, 3, 8, 3]","[0, 1, 1, 0, 2]","[4, 17, 10, 12, 12]"
B942,1,48415,14994,18,3,33,15,"[9872, 10320, 9645, 10916, 7662]","[3, 6, 0, 6, 3]","[0, 1, 0, 1, 1]","[9, 4, 8, 4, 8]"
R942,0,33421,-14994,3,18,3,-15,"[7909, 6328, 7554, 7147, 4483]","[0, 1, 1, 1, 0]","[3, 4, 2, 4, 5]","[0, 0, 0, 1, 2]"
B943,1,60115,9742,10,4,30,6,"[12661, 12024, 12719, 13755, 8956]","[2, 5, 0, 3, 0]","[2, 0, 1, 1, 0]","[5, 3, 6, 7, 9]"
R943,0,50373,-9742,4,10,13,-6,"[11043, 9678, 11568, 10462, 7622]","[2, 1, 0, 0, 1]","[0, 3, 2, 2, 3]","[1, 3, 4, 3, 2]"
B944,0,60957,-5697,12,14,25,-2,"[12490, 12203, 14158, 12842, 9264]","[3, 4, 2, 2, 1]","[2, 3, 2, 4, 3]","[3, 6, 6, 2, 8]"
R944,1,66654,5697,14,12,33,2,"[13646, 12320, 15389, 15768, 9531]","[0, 1, 7, 4, 2]","[2, 1, 2, 3, 4]","[7, 8, 2, 7, 9]"
B945,1,64848,9091,15,10,39,5,"[13619, 12162, 15554, 13899, 9614]","[0, 5, 6, 2, 2]","[0, 4, 1, 2, 3]","[11, 7, 9, 4, 8]"
R945,0,55757,-9091,10,15,27,-5,"[12574, 11364, 11637, 11804, 8378]","[1, 4, 4, 1, 0]","[2, 3, 5, 2, 3]","[7, 5, 2, 7, 6]"
B946,1,93747,8586,21,13,49,8,"[19792, 18349, 21298, 21064, 13244]","[1, 9, 4, 7, 0]","[5, 2, 1, 0, 5]","[7, 6, 13, 8, 15]"
R946,0,85161,-8586,13,21,26,-8,"[18913, 15433, 17739, 20628, 12448]","[3, 1, 4, 5, 0]","[2, 4, 6, 5, 4]","[3, 7, 2, 4, 10]"
B947,1,58276,16984,27,7,67,20,"[14078, 10813, 12789, 12563, 8033]","[8, 4, 9, 6, 0]","[1, 2, 0, 2, 2]","[10, 13, 9, 15, 20]"
R947,0,41292,-16984,7,27,19,-20,"[8676, 7756, 10121, 7858, 6881]","[1, 1, 4, 0, 1]","[5, 5, 6, 6, 5]","[5, 2, 2, 5, 5]"
B948,0,57027,-10731,4,11,7,-7,"[11242, 11272, 13941, 12862, 7710]","[0, 0, 3, 0, 1]","[2, 1, 2, 3, 3]","[1, 1, 0, 3, 2]"
R948,1,67758,10731,11,4,25,7,"[13973, 12113, 15304, 16468, 9900]","[2, 3, 4, 2, 0]","[0, 2, 0, 0, 2]","[3, 6, 3, 6, 7]"
B949,0,46976,-12828,5,16,7,-11,"[10405, 9314, 10631, 10389, 6237]","[0, 3, 1, 0, 1]","[6, 2, 3, 3, 2]","[1, 1, 1, 3, 1]"
R949,1,59804,12828,16,5,29,11,"[12646, 11961, 13843, 13263, 8091]","[5, 1, 6, 4, 0]","[3, 1, 0, 0, 1]","[3, 11, 3, 5, 7]"
B950,1,55915,14670,20,6,51,14,"[9567, 10486, 13957, 13550, 8355]","[0, 1, 9, 9, 1]","[2, 3, 0, 0, 1]","[9, 11, 7, 6, 18]"
R950,0,41245,-14670,6,20,9,-14,"[9984, 7062, 9086, 8999, 6114]","[1, 0, 1, 2, 2]","[4, 3, 2, 4, 7]","[4, 1, 1, 1, 2]"
B951,1,97215,1113,13,16,21,-3,"[21408, 17726, 20023, 23399, 14659]","[3, 4, 1, 4, 1]","[4, 5, 4, 2, 1]","[6, 6, 3, 1, 5]"
R951,0,96102,-1113,16,13,24,3,"[19282, 19084, 22554, 21163, 14019]","[0, 6, 4, 5, 1]","[7, 1, 2, 1, 2]","[6, 5, 4, 2, 7]"
B952,1,64553,18038,16,3,47,13,"[14878, 12197, 13815, 14321, 9342]","[3, 1, 4, 5, 3]","[0, 1, 1, 1, 0]","[12, 11, 9, 6, 9]"
R952,0,46515,-18038,3,16,7,-13,"[9473, 8054, 10186, 11975, 6827]","[0, 0, 1, 2, 0]","[5, 2, 6, 1, 2]","[3, 1, 2, 0, 1]"
B953,0,40229,-15415,6,23,7,-17,"[8490, 7587, 9164, 9473, 5515]","[1, 0, 5, 0, 0]","[5, 4, 5, 4, 5]","[0, 4, 1, 1, 1]"
R953,1,55644,15415,23,6,45,17,"[12912, 10638, 10151, 13203, 8740]","[4, 7, 4, 7, 1]","[0, 1, 4, 1, 0]","[9, 6, 4, 9, 17]"
B954,0,54307,-5626,9,13,16,-4,"[12236, 10718, 13078, 11230, 7045]","[1, 4, 4, 0, 0]","[1, 4, 3, 2, 3]","[2, 5, 2, 2, 5]"
R954,1,59933,5626,13,9,26,4,"[13375, 10229, 14940, 12732, 8657]","[5, 1, 5, 1, 1]","[2, 5, 0, 1, 1]","[5, 5, 7, 4, 5]"
B955,0,55883,-4446,8,16,18,-8,"[12148, 11556, 12214, 12102, 7863]","[1, 3, 2, 2, 0]","[2, 4, 4, 1, 5]","[4, 3, 4, 2, 5]"
R955,1,60329,4446,16,8,49,8,"[11989, 10566, 13941, 15363, 8470]","[4, 0, 3, 9, 0]","[3, 0, 1, 0, 4]","[10, 12, 10, 5, 12]"
B956,1,55422,9767,18,9,56,9,"[12211, 10504, 11937, 12767, 8003]","[4, 2, 6, 3, 3]","[3, 1, 3, 2, 0]","[10, 15, 9, 9, 13]"
R956,0,45655,-9767,9,18,25,-9,"[10375, 8379, 10987, 9668, 6246]","[2, 2, 4, 0, 1]","[4, 3, 4, 3, 4]","[4, 6, 4, 6, 5]"
B957,1,69613,11510,14,4,37,10,"[13944, 13498, 16240, 16379, 9552]","[0, 4, 5, 5, 0]","[1, 1, 0, 0, 2]","[8, 5, 5, 7, 12]"
R957,0,58103,-11510,4,14,9,-10,"[11711, 11463, 14052, 12723, 8154]","[0, 1, 3, 0, 0]","[3, 3, 3, 3, 2]","[3, 2, 0, 2, 2]"
B958,1,88512,1062,15,14,34,1,"[18344, 17530, 20200, 19079, 13359]","[2, 6, 3, 3, 1]","[2, 3, 3, 3, 3]","[7, 5, 8, 4, 10]"
R958,0,87450,-1062,14,15,37,-1,"[18721, 15995, 19620, 19374, 13740]","[1, 2, 6, 4, 1]","[4, 2, 4, 3, 2]","[4, 9, 6, 8, 10]"
B959,1,99307,3064,14,8,29,6,"[21825, 19960, 20071, 21275, 16176]","[2, 8, 1, 3, 0]","[4, 3, 0, 0, 1]","[7, 3, 5, 6, 8]"
R959,0,96243,-3064,8,14,17,-6,"[21704, 18125, 20374, 22040, 14000]","[2, 1, 1, 4, 0]","[5, 3, 4, 2, 0]","[2, 5, 4, 1, 5]"
B960,1,76081,3931,17,12,42,5,"[17015, 13025, 18984, 16291, 10766]","[4, 1, 11, 1, 0]","[2, 3, 2, 2, 3]","[11, 8, 3, 9, 11]"
R960,0,72150,-3931,12,17,30,-5,"[16504, 12828, 15656, 16100, 11062]","[5, 2, 0, 3, 2]","[3, 4, 4, 3, 3]","[5, 7, 7, 5, 6]"
B961,0,56932,-6480,13,17,31,-4,"[11165, 10844, 10845, 15105, 8973]","[1, 2, 1, 7, 2]","[2, 4, 4, 3, 4]","[7, 8, 6, 4, 6]"
R961,1,63412,6480,17,13,48,4,"[12068, 11735, 13856, 15700, 10053]","[0, 4, 6, 5, 2]","[5, 4, 3, 1, 0]","[10, 6, 9, 9, 14]"
B962,1,68990,13754,22,9,41,13,"[14237, 12062, 16199, 16823, 9669]","[5, 1, 7, 9, 0]","[1, 2, 1, 1, 4]","[6, 10, 9, 4, 12]"
R962,0,55236,-13754,9,22,20,-13,"[10555, 10622, 13673, 12747, 7639]","[1, 3, 3, 1, 1]","[7, 4, 3, 5, 3]","[4, 2, 4, 5, 5]"
B963,1,56600,10054,11,4,29,7,"[10926, 11091, 13217, 13078, 8288]","[0, 5, 2, 4, 0]","[1, 1, 0, 2, 0]","[8, 2, 5, 5, 9]"
R963,0,46546,-10054,4,11,7,-7,"[10820, 8793, 9944, 10604, 6385]","[2, 0, 1, 1, 0]","[1, 3, 4, 0, 3]","[1, 2, 0, 1, 3]"
B964,1,54877,2806,13,4,33,9,"[10352, 11371, 13386, 12078, 7690]","[2, 6, 4, 1, 0]","[1, 2, 0, 0, 1]","[7, 4, 6, 8, 8]"
R964,0,52071,-2806,4,13,10,-9,"[12217, 9498, 12074, 11169, 7113]","[0, 0, 1, 1, 2]","[1, 2, 3, 4, 3]","[1, 3, 1, 3, 2]"
B965,0,61708,-8790,7,15,15,-8,"[14829, 10777, 12455, 13962, 9685]","[1, 0, 3, 2, 1]","[1, 5, 1, 5, 3]","[0, 4, 4, 2, 5]"
R965,1,70498,8790,15,7,29,8,"[15075, 13294, 13947, 17449, 10733]","[3, 5, 1, 6, 0]","[1, 0, 3, 2, 1]","[1, 4, 8, 6, 10]"
B966,0,52893,-11094,5,11,11,-6,"[11093, 9042, 12283, 12336, 8139]","[2, 1, 1, 0, 1]","[2, 3, 1, 3, 2]","[1, 3, 2, 3, 2]"
R966,1,63987,11094,11,5,18,6,"[12603, 11647, 15349, 15627, 8761]","[2, 4, 2, 3, 0]","[2, 2, 0, 0, 1]","[1, 4, 5, 2, 6]"
B967,0,63153,-7418,7,22,13,-15,"[14338, 11155, 12585, 16057, 9018]","[0, 2, 0, 5, 0]","[4, 5, 6, 3, 4]","[3, 2, 3, 1, 4]"
R967,1,70571,7418,22,7,54,15,"[13940, 12545, 16921, 16757, 10408]","[3, 4, 8, 7, 0]","[0, 3, 1, 1, 2]","[11, 10, 10, 9, 14]"
B968,1,64305,13196,5,2,4,3,"[15748, 11328, 15681, 12300, 9248]","[2, 1, 2, 0, 0]","[0, 2, 0, 0, 0]","[0, 2, 1, 0, 1]"
R968,0,51109,-13196,2,5,3,-3,"[10430, 9820, 11462, 12456, 6941]","[0, 2, 0, 0, 0]","[3, 1, 1, 0, 0]","[0, 0, 2, 0, 1]"
B969,1,53463,11583,13,3,31,10,"[11847, 9969, 11452, 12926, 7269]","[0, 3, 3, 7, 0]","[1, 1, 0, 0, 1]","[6, 7, 7, 2, 9]"
R969,0,41880,-11583,3,13,6,-10,"[8702, 7456, 10847, 8791, 6084]","[0, 0, 2, 1, 0]","[3, 5, 1, 2, 2]","[1, 2, 1, 0, 2]"
B970,1,68383,13103,9,3,16,6,"[13372, 12265, 17494, 15032, 10220]","[1, 0, 6, 1, 1]","[1, 0, 1, 0, 1]","[4, 6, 1, 1, 4]"
R970,0,55280,-13103,3,9,6,-6,"[11643, 10184, 13031, 12939, 7483]","[0, 0, 2, 1, 0]","[1, 2, 1, 2, 3]","[1, 2, 0, 1, 2]"
B971,0,51040,-13569,6,19,10,-13,"[11148, 9773, 11826, 11080, 7213]","[0, 1, 2, 3, 0]","[4, 3, 3, 4, 5]","[1, 2, 3, 2, 2]"
R971,1,64609,13569,19,6,50,13,"[13183, 11570, 14799, 15376, 9681]","[1, 3, 6, 6, 3]","[0, 4, 2, 0, 0]","[13, 10, 6, 9, 12]"
B972,0,45859,-13656,3,19,6,-16,"[9250, 9023, 10533, 10509, 6544]","[0, 2, 0, 1, 0]","[6, 3, 5, 2, 3]","[1, 1, 0, 2, 2]"
R972,1,59515,13656,19,3,39,16,"[13521, 13707, 12077, 11752, 8458]","[4, 9, 2, 2, 2]","[1, 0, 0, 1, 1]","[11, 5, 5, 8, 10]"
B973,1,63009,12051,16,10,26,6,"[13278, 12812, 15766, 13039, 8114]","[5, 3, 7, 1, 0]","[0, 2, 2, 2, 4]","[1, 9, 3, 6, 7]"
R973,0,50958,-12051,10,16,19,-6,"[10945, 9479, 12029, 10729, 7776]","[3, 3, 2, 1, 1]","[3, 6, 3, 1, 3]","[1, 2, 6, 5, 5]"
B974,0,86094,-6030,21,28,58,-7,"[17716, 14283, 17717, 22788, 13590]","[4, 1, 3, 13, 0]","[5, 7, 9, 2, 5]","[9, 12, 11, 8, 18]"
R974,1,92124,6030,28,21,74,7,"[18375, 17521, 21267, 20783, 14178]","[2, 9, 8, 8, 1]","[4, 5, 3, 3, 6]","[16, 12, 17, 11, 18]"
B975,0,64519,-611,13,11,16,2,"[15974, 13113, 13108, 13547, 8777]","[2, 5, 2, 3, 1]","[4, 1, 4, 2, 0]","[3, 2, 4, 1, 6]"
R975,1,65130,611,11,13,18,-2,"[12737, 11456, 15302, 16085, 9550]","[2, 2, 4, 3, 0]","[2, 5, 2, 2, 2]","[3, 4, 2, 3, 6]"
B976,1,57137,7456,11,4,32,7,"[12554, 9400, 12264, 14816, 8103]","[1, 0, 4, 6, 0]","[1, 1, 1, 0, 1]","[6, 8, 5, 4, 9]"
R976,0,49681,-7456,4,11,9,-7,"[10258, 9710, 11932, 10298, 7483]","[1, 1, 1, 1, 0]","[4, 2, 1, 3, 1]","[3, 1, 1, 1, 3]"
B977,1,74232,3519,14,14,41,0,"[15067, 14638, 18115, 15608, 10804]","[2, 5, 5, 1, 1]","[2, 6, 1, 2, 3]","[11, 7, 5, 9, 9]"
R977,0,70713,-3519,14,14,40,0,"[15983, 13668, 14417, 15134, 11511]","[3, 5, 2, 1, 3]","[1, 5, 4, 2, 2]","[5, 8, 8, 9, 10]"
B978,1,48636,7274,10,4,23,6,"[11149, 8459, 10638, 12140, 6250]","[2, 0, 2, 6, 0]","[0, 2, 1, 0, 1]","[6, 5, 6, 1, 5]"
R978,0,41362,-7274,4,10,9,-6,"[8641, 8641, 9196, 8765, 6119]","[1, 2, 1, 0, 0]","[4, 3, 1, 1, 1]","[2, 1, 1, 2, 3]"
B979,1,62378,14521,17,6,44,11,"[11856, 12425, 14114, 15163, 8820]","[0, 5, 7, 3, 2]","[2, 2, 2, 0, 0]","[8, 6, 6, 11, 13]"
R979,0,47857,-14521,6,17,18,-11,"[10528, 8248, 11298, 11424, 6359]","[0, 2, 2, 2, 0]","[2, 4, 4, 2, 5]","[6, 4, 4, 1, 3]"
B980,0,56366,-7427,8,19,17,-11,"[10937, 10352, 14068, 12905, 8104]","[2, 1, 4, 1, 0]","[5, 4, 3, 4, 3]","[2, 5, 3, 1, 6]"
R980,1,63793,7427,19,8,46,11,"[15264, 11144, 14049, 14572, 8764]","[9, 0, 2, 8, 0]","[1, 4, 0, 1, 2]","[6, 12, 12, 4, 12]"
B981,1,56461,12323,17,2,45,15,"[12705, 10074, 12907, 13367, 7408]","[3, 1, 4, 9, 0]","[1, 0, 0, 0, 1]","[9, 12, 9, 5, 10]"
R981,0,44138,-12323,2,17,6,-15,"[8715, 7948, 10646, 10763, 6066]","[0, 0, 0, 2, 0]","[6, 3, 3, 2, 3]","[0, 2, 2, 0, 2]"
B982,1,74814,-3570,15,11,29,4,"[16584, 13040, 16740, 16431, 12019]","[5, 2, 5, 3, 0]","[3, 4, 0, 3, 1]","[5, 6, 5, 2, 11]"
R982,0,78384,3570,11,15,22,-4,"[15540, 14275, 17930, 17745, 12894]","[3, 4, 3, 1, 0]","[4, 4, 4, 1, 2]","[3, 4, 6, 2, 7]"
B983,0,55958,-15474,2,24,3,-22,"[11670, 10168, 12784, 12769, 8567]","[1, 0, 0, 1, 0]","[5, 5, 5, 4, 5]","[0, 1, 1, 0, 1]"
R983,1,71432,15474,24,2,69,22,"[14150, 13699, 16242, 16993, 10348]","[1, 5, 6, 10, 2]","[0, 0, 0, 0, 2]","[15, 13, 14, 11, 16]"
B984,1,64183,10733,14,10,33,4,"[12604, 12027, 15562, 15118, 8872]","[2, 2, 9, 1, 0]","[2, 3, 1, 1, 3]","[9, 6, 2, 7, 9]"
R984,0,53450,-10733,10,14,20,-4,"[10754, 9994, 11615, 12547, 8540]","[2, 1, 3, 2, 2]","[3, 2, 4, 3, 2]","[2, 4, 3, 5, 6]"
B985,0,63964,-14063,15,24,30,-9,"[12746, 11500, 16090, 13203, 10425]","[2, 1, 8, 2, 2]","[6, 5, 3, 5, 5]","[6, 4, 4, 7, 9]"
R985,1,78027,14063,24,15,59,9,"[16579, 15701, 18148, 17138, 10461]","[5, 4, 7, 8, 0]","[3, 2, 3, 1, 6]","[11, 13, 12, 8, 15]"
B986,1,52912,5968,13,6,40,7,"[10363, 9958, 12561, 12728, 7302]","[0, 3, 4, 5, 1]","[2, 3, 0, 0, 1]","[7, 9, 8, 5, 11]"
R986,0,46944,-5968,6,13,20,-7,"[9014, 8130, 11734, 10629, 7437]","[1, 0, 3, 1, 1]","[3, 3, 1, 3, 3]","[4, 6, 2, 4, 4]"
B987,0,59982,-38,15,15,39,0,"[12111, 11757, 14086, 13170, 8858]","[5, 5, 3, 2, 0]","[5, 3, 3, 1, 3]","[5, 9, 7, 8, 10]"
R987,1,60020,38,15,15,33,0,"[14510, 11468, 12418, 13188, 8436]","[5, 1, 5, 3, 1]","[3, 3, 2, 4, 3]","[9, 8, 7, 3, 6]"
B988,0,60315,-11053,7,14,18,-7,"[14404, 10467, 14338, 12750, 8356]","[3, 0, 2, 2, 0]","[1, 4, 3, 2, 4]","[3, 4, 4, 3, 4]"
R988,1,71368,11053,14,7,40,7,"[13837, 13596, 16431, 17657, 9847]","[2, 2, 3, 7, 0]","[3, 1, 0, 1, 2]","[9, 9, 9, 5, 8]"
B989,1,58430,11287,19,7,46,12,"[11985, 10506, 11076, 15178, 9685]","[3, 2, 1, 8, 5]","[3, 0, 1, 1, 2]","[7, 13, 8, 5, 13]"
R989,0,47143,-11287,7,19,16,-12,"[9486, 7540, 11137, 11664, 7316]","[1, 0, 4, 2, 0]","[3, 5, 4, 3, 4]","[2, 4, 1, 3, 6]"
B990,0,56118,-9357,2,11,3,-9,"[12494, 10284, 12689, 12929, 7722]","[1, 1, 0, 0, 0]","[3, 4, 0, 1, 3]","[0, 1, 0, 1, 1]"
R990,1,65475,9357,11,2,29,9,"[13313, 12078, 14457, 15129, 10498]","[3, 2, 1, 4, 1]","[1, 0, 0, 1, 0]","[3, 6, 7, 4, 9]"
B991,1,68731,3701,16,12,47,4,"[13586, 15204, 15310, 14134, 10497]","[3, 5, 4, 2, 2]","[4, 1, 2, 2, 3]","[9, 8, 9, 8, 13]"
R991,0,65030,-3701,12,16,27,-4,"[13196, 12374, 15195, 14756, 9509]","[3, 1, 5, 3, 0]","[3, 5, 1, 5, 2]","[6, 6, 3, 4, 8]"
B992,0,96309,-1407,16,20,42,-4,"[20658, 15596, 22362, 23286, 14407]","[4, 1, 6, 5, 0]","[5, 4, 4, 2, 5]","[9, 9, 5, 7, 12]"
R992,1,97716,1407,20,16,63,4,"[19205, 16789, 21599, 23597, 16526]","[5, 0, 9, 5, 1]","[8, 4, 1, 1, 2]","[14, 12, 10, 10, 17]"
B993,1,66452,10725,14,10,31,4,"[13397, 12124, 16133, 14288, 10510]","[3, 2, 5, 3, 1]","[3, 3, 1, 3, 0]","[6, 7, 3, 5, 10]"
R993,0,55727,-10725,10,14,22,-4,"[10968, 8643, 13527, 14223, 8366]","[0, 0, 3, 7, 0]","[3, 5, 2, 1, 3]","[2, 5, 5, 1, 9]"
B994,1,74193,14669,20,5,61,15,"[16756, 13897, 17518, 14835, 11187]","[3, 3, 7, 3, 4]","[1, 1, 0, 2, 1]","[11, 16, 12, 10, 12]"
R994,0,59524,-14669,5,20,15,-15,"[12283, 10759, 14395, 13509, 8578]","[0, 2, 1, 2, 0]","[6, 5, 1, 2, 6]","[3, 2, 2, 3, 5]"
B995,1,74707,14301,23,14,56,9,"[13578, 13689, 18458, 16996, 11986]","[1, 4, 10, 6, 2]","[4, 3, 1, 3, 3]","[9, 11, 7, 11, 18]"
R995,0,60406,-14301,14,23,35,-9,"[12471, 11185, 15038, 13432, 8280]","[3, 3, 3, 3, 2]","[5, 6, 1, 6, 5]","[5, 9, 6, 6, 9]"
B996,0,62544,-11288,15,17,38,-2,"[12131, 11527, 15450, 13601, 9835]","[1, 4, 6, 2, 2]","[5, 4, 1, 5, 2]","[7, 8, 6, 7, 10]"
R996,1,73832,11288,17,15,45,2,"[16749, 14241, 17699, 14529, 10614]","[3, 4, 8, 2, 0]","[1, 1, 3, 6, 4]","[6, 11, 7, 7, 14]"
B997,1,45195,11115,13,4,41,9,"[9246, 8563, 10740, 10479, 6167]","[3, 0, 4, 6, 0]","[1, 1, 0, 0, 2]","[8, 12, 7, 6, 8]"
R997,0,34080,-11115,4,13,9,-9,"[7633, 7023, 7454, 7303, 4667]","[2, 1, 1, 0, 0]","[3, 3, 2, 2, 3]","[1, 3, 1, 2, 2]"
B998,1,44862,6209,17,4,46,13,"[8583, 9975, 10144, 10017, 6143]","[0, 6, 5, 6, 0]","[1, 0, 1, 0, 2]","[10, 9, 4, 9, 14]"
R998,0,38653,-6209,4,17,7,-13,"[8404, 7102, 8622, 9360, 5165]","[1, 0, 1, 2, 0]","[4, 3, 2, 3, 5]","[1, 2, 1, 1, 2]"
B999,1,54123,7145,18,10,45,8,"[11936, 10169, 11483, 12979, 7556]","[7, 1, 4, 4, 2]","[3, 1, 2, 1, 3]","[8, 12, 8, 6, 11]"
R999,0,46978,-7145,10,18,20,-8,"[10453, 8339, 12264, 8902, 7020]","[5, 1, 3, 1, 0]","[4, 5, 2, 3, 4]","[3, 4, 2, 5, 6]"
B1000,1,60304,8730,14,9,37,5,"[14437, 10252, 14919, 12602, 8094]","[2, 0, 10, 2, 0]","[2, 1, 2, 2, 2]","[7, 9, 4, 8, 9]"
R1000,0,51574,-8730,9,14,26,-5,"[11222, 8683, 11665, 12350, 7654]","[2, 2, 3, 1, 1]","[2, 3, 2, 4, 3]","[1, 4, 5, 8, 8]"
B1001,0,68021,-3167,16,20,48,-4,"[16151, 13600, 14511, 14386, 9373]","[5, 4, 3, 3, 1]","[4, 2, 5, 4, 5]","[9, 9, 10, 9, 11]"
R1001,1,71188,3167,20,16,42,4,"[14844, 12590, 15163, 17941, 10650]","[3, 3, 3, 11, 0]","[4, 4, 4, 4, 0]","[11, 10, 7, 3, 11]"
B1002,1,60871,12530,9,6,22,3,"[14059, 11268, 13425, 13416, 8703]","[2, 0, 4, 2, 1]","[1, 2, 0, 1, 2]","[4, 4, 4, 5, 5]"
R1002,0,48341,-12530,6,9,13,-3,"[9865, 10315, 10704, 10780, 6677]","[1, 4, 1, 0, 0]","[2, 2, 2, 1, 2]","[4, 1, 3, 3, 2]"
B1003,1,69063,17368,19,2,45,17,"[14465, 13820, 16341, 15085, 9352]","[5, 4, 8, 2, 0]","[1, 0, 0, 1, 0]","[7, 12, 7, 8, 11]"
R1003,0,51695,-17368,2,19,3,-17,"[11138, 9872, 11203, 11831, 7651]","[1, 1, 0, 0, 0]","[3, 4, 4, 4, 4]","[0, 1, 0, 1, 1]"
B1004,0,61797,-15529,3,6,7,-3,"[13577, 11386, 13381, 14321, 9132]","[1, 1, 0, 1, 0]","[2, 0, 1, 2, 1]","[2, 1, 1, 1, 2]"
R1004,1,77326,15529,6,3,17,3,"[16380, 14979, 16772, 18143, 11052]","[1, 1, 1, 3, 0]","[1, 0, 0, 1, 1]","[3, 4, 5, 1, 4]"
B1005,1,53719,15299,16,5,43,11,"[9965, 11094, 12963, 11674, 8023]","[1, 4, 6, 4, 1]","[2, 0, 1, 1, 1]","[7, 7, 7, 9, 13]"
R1005,0,38420,-15299,5,16,13,-11,"[7636, 8031, 9043, 7826, 5884]","[0, 3, 2, 0, 0]","[2, 3, 4, 4, 3]","[2, 0, 3, 5, 3]"
B1006,1,62063,5971,20,12,60,8,"[11891, 11361, 14577, 14241, 9993]","[4, 4, 8, 3, 1]","[4, 2, 3, 2, 1]","[8, 13, 8, 13, 18]"
R1006,0,56092,-5971,12,20,36,-8,"[11612, 10988, 14381, 11918, 7193]","[1, 3, 7, 1, 0]","[5, 3, 4, 4, 4]","[9, 4, 5, 9, 9]"
B1007,1,57234,6243,21,8,72,13,"[9944, 12316, 12159, 14052, 8763]","[0, 6, 3, 12, 0]","[1, 1, 3, 1, 2]","[15, 12, 16, 9, 20]"
R1007,0,50991,-6243,8,21,24,-13,"[9586, 8681, 11812, 13302, 7610]","[0, 1, 3, 4, 0]","[5, 5, 2, 1, 8]","[4, 5, 5, 3, 7]"
B1008,1,62866,8128,15,7,37,8,"[15167, 11086, 12684, 14734, 9195]","[4, 1, 2, 5, 3]","[1, 1, 2, 2, 1]","[7, 8, 9, 4, 9]"
R1008,0,54738,-8128,7,15,17,-8,"[11836, 10490, 11679, 11990, 8743]","[0, 3, 0, 2, 2]","[5, 3, 1, 3, 3]","[3, 1, 3, 5, 5]"
B1009,1,64686,13018,17,4,52,13,"[13945, 12850, 13677, 14545, 9669]","[2, 6, 3, 4, 2]","[2, 0, 1, 1, 0]","[13, 9, 9, 8, 13]"
R1009,0,51668,-13018,4,17,6,-13,"[11633, 9354, 12158, 11644, 6879]","[2, 0, 2, 0, 0]","[4, 2, 3, 4, 4]","[0, 3, 0, 2, 1]"
B1010,1,67400,1865,12,7,30,5,"[13733, 12143, 16528, 15891, 9105]","[2, 1, 5, 4, 0]","[1, 3, 1, 2, 0]","[7, 9, 5, 3, 6]"
R1010,0,65535,-1865,7,12,23,-5,"[13404, 14272, 13436, 14505, 9918]","[0, 4, 2, 1, 0]","[4, 2, 4, 1, 1]","[4, 3, 4, 5, 7]"
B1011,0,54377,-9529,14,16,41,-2,"[11742, 10345, 12255, 12851, 7184]","[2, 3, 5, 4, 0]","[4, 4, 2, 3, 3]","[7, 9, 8, 7, 10]"
R1011,1,63906,9529,16,14,45,2,"[11655, 13689, 13140, 15849, 9573]","[1, 4, 4, 7, 0]","[4, 2, 3, 2, 3]","[7, 10, 9, 7, 12]"
B1012,1,68614,9248,12,5,33,7,"[12265, 12469, 14201, 18325, 11354]","[1, 1, 4, 6, 0]","[0, 2, 0, 1, 2]","[9, 5, 2, 5, 12]"
R1012,0,59366,-9248,5,12,11,-7,"[13918, 10308, 14336, 12929, 7875]","[1, 0, 4, 0, 0]","[1, 3, 2, 5, 1]","[1, 3, 1, 3, 3]"
B1013,1,53501,11638,15,4,31,11,"[10742, 9149, 13111, 12077, 8422]","[3, 2, 6, 4, 0]","[0, 2, 0, 0, 2]","[7, 7, 3, 4, 10]"
R1013,0,41863,-11638,4,15,15,-11,"[8998, 7425, 10284, 8986, 6170]","[0, 1, 1, 2, 0]","[2, 3, 2, 4, 4]","[3, 3, 3, 2, 4]"
